Θユ繷计-羆计,Θユ繷计-キА秖,Θユ繷计-キА基,砏睫(75そょ)-繷计,砏睫(75そょ)-キА秖,砏睫(75そょ)-キА基,75そょ-繷计,75そょ-キА秖,75そょ-キА基,75()-95(ぃ)-繷计,75()-95(ぃ)-キА秖,75()-95(ぃ)-キА基,95()-115()-繷计,95()-115()-キА秖,95()-115()-キА基,115()-135(ぃ)-繷计,115()-135(ぃ)-キА秖,115()-135(ぃ)-キА基,135()-155(ぃ)-繷计,135()-155(ぃ)-キА秖,135()-155(ぃ)-キА基,155そょ-繷计,155そょ-キА秖,155そょ-キА基,瞊∣贺睫-繷计,瞊∣贺睫-キА秖,瞊∣贺睫-キА基,ㄤ睫-繷计,ㄤ睫-キА秖,ㄤ睫-キА基,紅-繷计,紅-キА秖,紅-キА基,Θユ羆计(ぃ紅)-繷计,Θユ羆计(ぃ紅)-キА秖,Θユ羆计(ぃ紅)-キА基
327,129.63,79.09,327,129.63,79.09,0,0,0,0,0,0,51,109.8,74.12,167,126.51,79.39,99,142.27,80.21,10,157.6,82.79,0,0,0,0,0,0,0,0,0,327,129.63,79.09
201,120.18,77.58,197,120.48,77.73,0,0,0,3,82.17,71.09,55,108.76,78.17,128,123.32,77.69,14,140.61,76.75,0,0,0,1,174.5,66,0,0,0,0,0,0,201,120.18,77.58
1336,119.4,75.4,1287,119.52,75.85,1,74,59.59,18,89.77,72.32,504,108.39,75.63,638,123.33,76.07,145,141.42,75.6,14,159.53,73.8,2,149,36.91,14,105.83,42.38,337,122.44,73.68,999,118.38,75.99
279,128.04,75.22,264,127.48,76.27,0,0,0,0,0,0,34,109.07,74.99,164,126.02,77.11,66,140.61,74.92,8,160.5,65.79,0,0,0,7,111.71,45.62,93,130.72,72.61,186,126.69,76.57
1336,123.53,74.37,1264,123.45,74.97,0,0,0,11,91.49,62.58,342,109.63,74.09,701,124.58,75.27,221,141.27,75.17,15,162.28,70.93,5,152,50.14,41,116.83,62.92,395,119.97,72.86,941,125.02,74.97
1012,123.19,75.32,975,123.32,75.53,0,0,0,22,89.9,69.79,283,107.6,75.32,515,125.6,75.73,177,141.8,75.28,15,163.7,69.13,0,0,0,0,0,0,430,123.1,73.91,582,123.25,76.35
866,121.58,73.14,833,121.98,73.62,0,0,0,9,87.56,59.31,221,108.63,73.56,504,123.86,73.88,108,140.49,72.62,5,159.6,66.8,0,0,0,19,110.18,57.7,401,122.97,72.36,465,120.37,73.83
457,115.42,73.09,432,117.47,74.04,11,55.14,13.82,7,91.93,68.46,185,107.25,73.98,231,124.03,74.15,16,140.94,73.14,0,0,0,0,0,0,7,107.29,60.9,116,118.25,72.08,341,114.46,73.45
1009,118.84,74.46,923,120.98,75.11,7,52.64,17.94,67,88.21,66.37,308,107.65,74.47,482,123.8,75.41,133,141.62,75.29,8,159.81,75.01,4,171.13,67.7,0,0,0,202,120.9,72.54,807,118.32,74.95
2148,112.87,72.69,1811,116.88,73.67,0,0,0,217,89.36,66.59,845,106.6,72.75,823,123.12,74.57,143,141.77,73.23,11,166.09,65.75,0,0,0,109,87.6,64.8,627,110.08,70.15,1521,114.02,73.7
749,115.49,73.09,654,119.19,74.26,0,0,0,81,90.2,64.9,243,107.3,73.9,371,124.3,74.9,40,144,70.7,0,0,0,0,0,0,14,89.3,48.1,212,120.8,71.2,537,113.4,73.88
705,119.42,74.22,685,119.53,74.46,0,0,0,13,87.51,65.01,240,108.29,73.25,388,123.32,75.13,57,141,74.38,7,168.74,66.36,0,0,0,0,0,0,148,116.43,71.33,557,120.22,74.96
2214,119.9,73.48,2087,120.62,74.15,0,0,0,48,90.86,67.6,730,108.05,72.95,1111,124.18,74.76,246,141.86,74.46,13,161,73.37,0,0,0,66,109.98,53.66,577,119.27,70.76,1637,120.12,74.43
1765,119.69,73.24,1653,120.23,73.88,1,58.5,20,32,89.44,66.71,586,108,73.77,875,123.67,74.13,192,141.9,73.12,10,161.95,67.27,8,177.06,67.98,61,107.33,59.99,317,125,71.63,1448,118.52,73.62
1497,115,74.2,1422,115.39,74.68,0,0,0,47,91.3,67.94,701,107,73.66,691,122.8,75.55,30,140.7,75.18,0,0,0,6,174.3,67.37,22,124.5,58.28,236,113,71.72,1261,115.38,74.66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,130.78,82.29,566,131,83.14,0,0,0,5,92.9,71.63,116,108.47,74.75,231,125.99,79.99,170,143.29,87.64,49,165.3,93.99,0,0,0,18,134.47,58.07,81,118.5,70.77,508,132.74,83.93
2040,130.61,78.3,1837,126.31,78.36,0,0,0,7,91,72.2,376,108.1,74,948,124.5,77.9,513,143,81.5,182,171,80.6,14,190,48,0,0,0,147,119.86,70.3,1893,131.45,78.87
643,130.32,79.09,594,127.56,82.51,0,0,0,2,91.2,64.32,96,109.1,74.53,339,125.4,82.33,148,142.1,86.49,11,159.6,87,24,206.1,36,23,125.8,63.92,71,116.2,71.85,572,132.07,79.88
378,127.91,80.24,375,128.19,80.3,0,0,0,3,92.66,70.34,61,107.39,76.76,195,125.57,81.78,113,142.3,79.44,6,159,81.11,0,0,0,0,0,0,0,0,0,378,127.91,80.24
2338,128.3,76.69,2262,127.16,77.12,0,0,0,10,90.04,59.06,337,108.38,75.17,1352,125.58,77.3,573,141.94,77.63,66,172.97,67.18,0,0,0,0,0,0,289,124.63,72.29,2049,128.81,77.29
356,127.78,80.21,354,127.98,80.3,0,0,0,2,92.5,57.08,52,108.29,72.86,211,125.97,80.66,82,141.98,82.77,9,161.44,82.89,0,0,0,0,0,0,0,0,0,356,127.78,80.21
221,115.65,77.44,213,116.53,77.7,0,0,0,8,92,68.71,98,107.03,76.03,104,123.06,78.85,11,139.5,79.54,0,0,0,0,0,0,0,0,0,0,0,0,221,115.65,77.44
1375,122.48,74.39,1287,123.05,75.21,0,0,0,37,87.82,67.2,362,107.71,75.71,704,125.07,75.3,221,141.72,74.35,15,160.8,72.16,11,164.36,58.41,25,103.2,46.48,330,126.91,72.9,1045,121.08,74.89
293,124.5,75.64,283,124.17,76.19,0,0,0,4,88,60.44,66,108.55,74.34,161,124.7,76.7,56,141.08,76.56,6,164.08,61.52,0,0,0,0,0,0,90,124.56,72.34,203,124.47,77.1
1436,124.49,73.53,1344,124.16,74.12,0,0,0,13,90.34,61.23,327,108.54,73.17,741,124.51,74.55,276,141.75,73.98,29,162.77,69.43,1,166.2,60,49,118.99,62.73,442,121.21,71.92,994,125.95,74.22
966,120.96,74.53,872,122.95,75.53,2,73.8,44.9,72,85.5,62.74,216,107.8,75.14,532,124.7,75.73,124,141.8,75.29,20,166.9,65.56,0,0,0,0,0,0,386,121.9,73.86,580,120.34,74.99
681,119.01,73.72,638,120.52,74.41,0,0,0,33,90.02,61.2,160,105.92,73.81,427,123.74,74.67,51,139.41,73.9,0,0,0,0,0,0,10,118,60.58,260,121.38,72.89,421,117.54,74.26
437,115.82,73.79,424,116.21,74.16,0,0,0,6,91.08,66.25,202,107.84,73.89,203,122.3,74.32,19,140.03,74.86,0,0,0,2,133.25,51.76,5,105.7,58.32,96,117.04,72.54,341,115.47,74.15
1025,119.26,73.84,972,120.16,74.32,2,58.5,29.7,40,88.68,66.23,354,108.1,73.92,505,123.88,74.58,113,141.28,74.27,3,166,66.7,8,160.75,58.18,0,0,0,223,118.69,71.66,802,119.42,74.45
2263,113.34,72.24,2007,116.93,73.58,0,0,0,129,90.21,67.86,936,106.55,72.42,912,123.4,74.59,159,140.91,73.63,4,160,75.33,0,0,0,123,77.48,44.39,571,109.81,70.85,1692,114.53,72.69
674,113.93,73.53,603,117.1,74.5,0,0,0,61,87.7,64.9,269,107.9,73.9,314,123.5,75.1,20,140.5,72.5,0,0,0,0,0,0,10,82.6,46.6,127,119.5,71.2,547,112.64,74.11
720,118.52,73.57,695,119.1,73.98,2,63,35.17,15,89.95,62.99,252,108.65,72.81,388,122.94,74.63,55,139.94,74.14,4,161.65,70.82,0,0,0,4,108.85,43.34,153,118.23,70.41,567,118.6,74.42
2243,119.07,73.99,2156,119.54,74.48,0,0,0,37,91.39,68.47,772,108.47,73.55,1214,123.61,75,170,140.8,74.51,3,157.67,72.41,0,0,0,47,116.69,54.27,540,117.8,70.87,1703,119.47,74.96
1712,116.69,73.85,1590,117.86,74.51,3,66,40.09,70,90.37,65.76,661,107.6,74.04,818,123.08,74.88,111,140.47,74.27,3,161.5,73.45,4,196.63,45.28,42,109.06,64.2,282,120.05,72.1,1430,116.03,74.2
1536,117.4,74.26,1416,118.73,74.86,0,0,0,82,89.2,66.68,583,107.5,73.67,705,123.8,75.74,128,141.9,74.71,8,157.1,73.76,3,166.3,68.9,27,116.6,61.02,238,116.3,71.69,1298,117.61,74.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,132.06,81.88,567,131.87,82.26,0,0,0,1,89,63.4,75,110.23,77.83,279,125.92,80,167,142.75,84.67,46,163.71,90.07,0,0,0,24,138.44,73.81,54,122.32,71.51,538,133.04,82.84
2063,128.64,79.19,1874,125.58,79.31,0,0,0,23,91.3,65.6,430,107.2,73.5,938,124.6,79,506,143,83.5,149,166.1,82.6,17,188.5,53,0,0,0,173,119.5,70.01,1890,129.48,79.96
613,134.78,81.66,579,134.25,83.09,0,0,0,2,86.2,59.77,79,109.3,75.48,222,125,80.24,212,144.1,85.94,66,163.6,88.47,7,210.2,42.53,25,129.8,66.24,68,124.4,70.85,545,136.08,82.89
415,121.75,80.23,403,122.71,80.71,1,60.5,10.39,11,92.18,60.97,107,108.81,76.75,238,123.51,81.71,53,142.24,85.36,5,175,59.93,0,0,0,0,0,0,0,0,0,415,121.75,80.23
2334,127.29,76.96,2207,125.96,77.26,4,69.5,24.06,24,91.1,65.57,444,107.06,74.18,1197,125.47,77.7,566,141.83,78.26,99,167.93,74.31,0,0,0,0,0,0,257,120.56,70.62,2077,128.12,77.7
1405,121.21,74.57,1314,121.87,75.24,1,74,50.2,36,89.47,70.03,439,107.86,75.6,657,124.41,75.46,218,142.44,74.13,16,163.4,72.26,9,155.66,68.77,29,98.1,47.13,328,124.07,72.54,1077,120.33,75.2
332,119.95,74.73,318,121.15,75.27,0,0,0,13,89.35,61.33,96,107.17,73.1,186,124.53,76.23,36,140.99,75.3,0,0,0,0,0,0,1,136.5,35,94,120.48,72.24,238,119.75,75.72
1483,123.84,73.92,1414,123.48,74.31,0,0,0,10,91.74,64.87,342,108.62,72.86,837,124.38,74.78,235,141.9,74.44,27,162.18,71.74,1,130.8,50,31,116.79,61.2,367,119.2,71.64,1116,125.36,74.64
1194,122.83,74.1,1148,122.73,74.36,2,68.3,29.1,23,91.1,66.54,335,107.7,73.84,620,125,74.63,193,141.5,74.27,21,168.2,69.99,0,0,0,0,0,0,504,122.4,72.74,690,123.14,75.09
859,118.06,73,819,118.78,73.71,0,0,0,19,89.21,54.1,298,106.85,73.04,469,124,74.16,52,140.1,73.03,0,0,0,0,0,0,21,115.88,57.88,342,118.06,71.82,517,118.06,73.78
493,117.83,73.16,450,119.2,73.23,0,0,0,28,92.48,69.55,170,106.53,73.02,235,124.31,73.68,45,140.4,71.72,2,157,65.6,0,0,0,13,118.85,78.26,100,121.35,70.16,393,116.93,73.95
1175,119.18,73.02,1141,119.9,73.36,10,53.9,19.7,17,89.44,67.18,379,108.28,73.09,680,123.97,73.58,82,139.88,72.73,1,158,78,6,169.5,63.78,0,0,0,255,121.17,71.4,920,118.63,73.48
2250,116.76,72.73,2008,119.04,73.95,0,0,0,127,88.53,67.19,805,107.82,73.72,1008,123.6,74.55,195,141.74,71.98,24,168.77,67.14,0,0,0,91,92.2,47.91,444,114.86,70.49,1806,117.23,73.26
746,114.39,72.85,671,117.49,73.86,0,0,0,59,87.8,63.8,298,107,73,317,123.4,74.5,56,139.8,74.2,0,0,0,0,0,0,16,82.6,47.8,172,119.1,71,574,112.98,73.43
756,116.72,73.03,725,117.21,73.59,1,74.8,40,23,88.88,61.9,321,107.18,72.42,369,123.71,74.34,35,140.75,74.83,3,165.6,63.09,3,181.73,47,1,102.6,38,160,112.16,69.63,596,117.95,73.89
2155,116.88,74.69,2027,118.17,75.23,0,0,0,66,91.31,68.73,874,107.53,73.88,986,123.7,76.03,167,141.16,76.52,6,158.08,76.32,0,0,0,56,96,56.84,359,112.84,70.61,1796,117.69,75.47
1844,118.14,72.99,1758,118.37,73.39,5,64.7,40.46,22,90.61,67.89,696,108.22,73.28,940,122.94,73.58,122,141,72.6,9,162.11,71.91,5,181.9,60.79,45,112.7,63.04,268,122.28,70.73,1576,117.43,73.39
1602,118.73,75.27,1533,119.27,75.59,0,0,0,40,87.4,67.6,628,108.2,74.39,751,124,76.05,154,141.3,77.35,4,157.1,91.55,5,177.8,71.28,20,118,59.33,180,117.2,71.86,1422,118.92,75.7
714,132.13,83.97,656,131.66,85.14,0,0,0,2,93.25,72.3,103,108.36,77.58,292,125.59,82.69,209,143.07,89.4,52,166,90.56,0,0,0,56,139.03,71.3,13,116.15,72.5,701,132.42,84.16
2245,129.55,79.31,2091,127.18,79.72,0,0,0,17,91,59.3,378,108.2,74.5,1090,125,80,623,142.5,81.7,119,167.3,80.5,18,191.7,50,0,0,0,137,122.16,70.24,2108,130.03,79.87
731,131.91,81.56,670,131.21,83.59,0,0,0,9,91,58.26,128,108.5,73.51,314,124.6,82.04,138,143.6,88.62,90,167.6,90.31,14,193.5,47.56,38,131.1,67.88,79,111.3,69.77,652,134.4,82.74
2573,127.84,76.41,2424,126.05,77.16,1,70.2,18.6,26,90.62,66.59,490,108.24,74.84,1291,124.99,77.46,643,141.74,77.97,122,171.81,66.79,0,0,0,0,0,0,267,122.49,70.67,2306,128.46,77.04
78,123.63,77.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,123.63,77.31,0,0,0,78,123.63,77.31
338,126.37,77.79,334,126.81,77.93,0,0,0,4,89.75,60.68,76,107.54,72.02,174,125.43,78.04,67,143.01,81.31,17,163.29,82.8,0,0,0,0,0,0,0,0,0,338,126.37,77.79
209,117.21,74.2,203,117.66,74.39,1,71,50.2,4,90.75,69.16,87,108.99,73.92,107,122.79,74.84,9,140.5,73.19,0,0,0,1,178.5,68.4,0,0,0,0,0,0,209,117.21,74.2
546,115.88,77.39,482,117.56,78.25,2,72.75,60.43,46,88.69,71.61,220,106.56,76.16,212,122.8,80.41,50,143.78,77.26,12,158.04,71.7,0,0,0,4,120.12,52.08,0,0,0,546,115.88,77.39
77,118.58,77.17,75,118.23,77.47,0,0,0,1,89.5,73.4,26,108.6,73.28,44,121.76,78.42,5,137.2,87.36,1,174.5,63.6,0,0,0,0,0,0,0,0,0,77,118.58,77.17
662,121.45,74.17,632,121.84,74.73,0,0,0,5,92.32,61.57,200,108.61,73.03,346,124.71,75.31,86,141.06,75.7,3,166.6,64.3,0,0,0,22,110.57,61.07,77,116.45,67.6,585,122.1,75
450,123.76,74.51,444,123.24,74.54,0,0,0,0,0,0,128,110,72.81,252,125,74.6,64,142.8,77,6,162.3,72.98,0,0,0,0,0,0,0,0,0,450,123.76,74.51
382,117.41,73.79,366,117.92,74.21,0,0,0,3,91.83,63.76,142,108.96,74.38,210,122.65,74.39,14,137.93,70.34,0,0,0,0,0,0,13,109,63.11,73,124.9,68.83,309,115.65,75.06
305,117.23,72.78,295,117.95,73.04,0,0,0,7,91.36,68.56,131,106.56,72.48,135,124.49,73.46,29,138.95,73.24,0,0,0,0,0,0,3,107,52.99,19,120.26,67.15,286,117.03,73.17
699,119.35,73.3,680,120.02,73.63,5,62.4,33.43,11,91.45,63.65,212,108.48,73.02,424,123.82,74.06,44,139.06,72.17,0,0,0,3,163.17,64.07,0,0,0,42,125.32,67.72,657,118.97,73.67
1519,114.35,72.44,1313,118.07,74.53,0,0,0,107,89.15,64.4,570,107.05,73.39,618,123.69,75.75,125,140.55,73.2,3,159.67,66.65,0,0,0,96,90.14,44.21,130,108.29,64.78,1389,114.92,73.12
487,114.18,73.41,443,116.96,74.27,0,0,0,31,88.1,67.3,206,106.5,73.4,208,124.1,74.7,29,140.1,76.2,0,0,0,0,0,0,13,81.7,47.4,0,0,0,487,114.18,73.41
528,118.54,74.66,490,120.36,75.52,3,73.33,38.38,29,88.57,58.92,177,107.67,73.38,245,123.63,76.16,68,141.6,77.76,4,156.2,78.26,0,0,0,2,99,50.62,0,0,0,528,118.54,74.66
1851,118.96,73.81,1788,119.46,74.21,0,0,0,29,91.12,66.35,650,107.96,72.88,987,123.7,74.91,151,141.26,74.54,8,161.81,72.78,0,0,0,26,102.6,50.04,201,117.93,67.77,1650,119.09,74.54
1448,117.4,72.92,1377,118.23,73.27,1,55,28.2,40,89.39,65.04,593,107.8,72.59,666,123.48,74.09,118,141.06,71.79,2,158.5,68.3,0,0,0,28,115.66,65.23,34,111.44,68.76,1414,117.54,73.01
1175,114.9,74.63,1082,116.71,75.55,0,0,0,64,87.7,62.05,514,106.8,73.39,494,123.3,77.21,74,141.5,77.19,2,156.3,90.9,2,160.3,81.41,25,99.6,53.79,0,0,0,1175,114.9,74.63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,131.4,86.63,480,132.14,87.35,0,0,0,8,89.19,58.9,42,108.18,73.17,254,126.15,85.38,155,142.6,91.53,29,163.4,94.83,0,0,0,15,130.23,73.3,11,114.45,66.56,492,131.78,87.02
1859,127.29,80.04,1722,125.31,80.27,0,0,0,26,91.3,65,374,107.1,74.6,909,124.5,80.1,439,142.5,84.2,106,166,80.8,5,176,50,0,0,0,70,122.7,66.7,1789,127.47,80.54
437,136.57,86.85,423,136.88,87.26,0,0,0,1,88.5,63.01,24,111.5,79.51,210,126.6,84.74,118,142.7,89.76,71,166.2,91.14,0,0,0,13,130.1,74.08,0,0,0,437,136.57,86.85
401,125.04,80.77,400,125.12,80.8,0,0,0,1,93.5,66.8,76,110.78,78.61,259,124.74,81.13,60,141.77,81.29,5,163,85.17,0,0,0,0,0,0,0,0,0,401,125.04,80.77
2052,126.4,76.81,1981,125.72,76.83,0,0,0,17,90.49,65.59,392,108.94,73.07,1134,125,76.82,455,141.98,79.33,54,162.59,78.3,0,0,0,0,0,0,122,119.61,67.84,1930,126.83,77.35
364,124.32,77.74,363,124.41,77.77,0,0,0,1,92,63,112,108.09,71.4,172,124.78,79.49,69,142.74,82.06,10,174.3,76.54,0,0,0,0,0,0,0,0,0,364,124.32,77.74
1397,119.04,71.51,1305,120.27,72.1,1,72,53.4,48,87.47,67.11,442,108.1,72.08,726,123.66,72.35,137,141.55,70.98,15,160.86,67.67,5,176.1,57.45,23,77.67,42.58,340,122.9,69.29,1057,117.8,72.25
414,122.45,75.17,409,122.54,75.24,0,0,0,2,92.75,63.04,102,107.48,73.03,247,124.4,76.05,60,140.46,75.19,1,160,87.6,0,0,0,2,115.75,60.33,70,122.36,70.29,344,122.47,76.16
1421,124.56,71.48,1336,124.1,71.94,0,0,0,16,90.35,65.5,345,108.15,70.39,702,124.45,72.29,289,142.3,72.59,28,161.8,68.15,1,169,38,40,126.35,62.47,302,120.79,68.42,1119,125.58,72.28
1194,121.67,71.76,1129,122.8,72.14,3,71.5,33.47,49,88.3,62.57,315,108.1,71.46,639,124.9,72.42,175,141.6,72.15,13,160.6,69.51,0,0,0,0,0,0,435,119.4,68.88,759,122.97,73.36
785,119.47,71.46,757,119.59,71.79,0,0,0,6,92.67,67.93,278,108.18,72.75,406,123.41,71.61,73,141.75,69.87,2,163.25,61.93,0,0,0,20,118.88,61.22,287,122.26,69.15,498,117.87,72.85
463,115.18,70.39,436,116.49,70.83,1,55,9.2,18,91.31,65.22,205,106.16,70.87,209,124.25,71.05,22,138.98,68.72,0,0,0,0,0,0,8,105.06,58.07,78,121.92,67.46,385,113.81,71.03
1107,119.46,70.85,1061,120.1,71.25,5,57.2,11.04,31,90.21,65.43,386,107.96,70.48,558,124.04,71.45,117,141.38,72.32,4,159.13,74.28,6,182.92,51.97,0,0,0,199,120.02,68.21,908,119.34,71.43
2241,114.69,70.29,1997,116.3,71.5,0,0,0,148,90.12,65.86,986,106.78,70.37,891,123.42,72.71,120,141.73,70.73,12,168.17,65.79,0,0,0,84,111.94,47.53,548,112.94,67.11,1693,115.26,71.3
726,113.7,70.71,625,118.15,71.82,0,0,0,93,87.2,62.6,260,108.1,71.2,339,124,72.1,26,142.3,73.4,0,0,0,0,0,0,8,74.6,43.6,121,120,67.8,605,112.44,71.33
744,118.31,71.61,721,118.7,71.94,0,0,0,17,91.82,61.55,268,107.97,70.95,400,123.11,72.42,53,139.62,72.57,3,170.07,64.76,1,175.2,55.2,2,98.4,39.83,183,115.56,66.94,561,119.21,73.08
2250,117.48,71.23,2116,117.96,71.91,0,0,0,46,90.97,65.83,926,107.55,70.37,1033,123.68,72.98,157,141.66,72.67,15,163.87,69.37,0,0,0,73,110.84,53.74,472,116.13,67.18,1778,117.84,72.3
1898,117.91,70.59,1734,118.99,71.32,5,68.6,37.36,79,89.74,62.1,657,107.45,70.41,949,123.93,71.7,128,141.53,72.35,10,159.75,72.12,5,190.9,57.55,65,115.24,61.52,339,119.78,68.36,1559,117.5,71.09
1600,120.34,72.75,1523,120.52,72.82,0,0,0,39,89.7,66.43,519,108,72.34,829,123.8,72.99,175,142.1,73.18,2,157,73.1,16,172.2,86.84,20,121.6,60.53,149,117.8,68.45,1451,120.6,73.18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,131.07,82.49,685,131.04,82.94,0,0,0,1,93,63,103,109.83,73.67,339,125.17,79.36,193,143.76,88.8,50,165.38,94.3,0,0,0,19,134.34,67.5,43,115.98,68.77,662,132.05,83.27
2242,133.03,78.35,1984,129.27,78.75,0,0,0,16,93,68,313,108,74.6,931,125.5,78.9,740,143,79.9,226,166,78.2,16,174.5,50,0,0,0,173,126.9,68.27,2069,133.55,79.16
